"cefr_stage","stage_order","stage_title_en","stage_title_fr","stage_can_do_en","stage_can_do_fr","unit_id","unit_order","unit_title_en","unit_title_fr","unit_outcome_en","unit_outcome_fr","mission_order","mission_title_en","mission_title_fr","mission_can_do_en","mission_can_do_fr","context","duration_minutes","related_phonemes","is_checkpoint","source_url","last_updated"
"A0","1","Starter","Premiers mots","I can produce essential sounds and complete my first short exchanges.","Je peux produire les sons essentiels et réussir mes premiers échanges.","a0_first_contact","1","First contact","Premier contact","I can greet someone, introduce myself, say I do not understand, and say goodbye.","Saluer, se présenter, signaler une incompréhension et prendre congé.","1","Hello!","Bonjour !","I can say hello and goodbye.","Je peux dire bonjour et au revoir.","social","7","/ɔ̃/ | /ʒ/ | /u/","false","https://getparle.app/french-speaking-course/","2026-08-11"
"A0","1","Starter","Premiers mots","I can produce essential sounds and complete my first short exchanges.","Je peux produire les sons essentiels et réussir mes premiers échanges.","a0_first_contact","1","First contact","Premier contact","I can greet someone, introduce myself, say I do not understand, and say goodbye.","Saluer, se présenter, signaler une incompréhension et prendre congé.","2","My name is...","Je m'appelle...","I can say my first name.","Je peux dire mon prénom.","social","8","/m/ | /ɛ/ | /p/","false","https://getparle.app/french-speaking-course/","2026-08-11"
"A0","1","Starter","Premiers mots","I can produce essential sounds and complete my first short exchanges.","Je peux produire les sons essentiels et réussir mes premiers échanges.","a0_first_contact","1","First contact","Premier contact","I can greet someone, introduce myself, say I do not understand, and say goodbye.","Saluer, se présenter, signaler une incompréhension et prendre congé.","3","I don't understand","Je ne comprends pas","I can say I don't understand and ask someone to repeat.","Je peux dire que je ne comprends pas et demander de répéter.","social","8","/p/ | /ʁ/ | /ɔ̃/","false","https://getparle.app/french-speaking-course/","2026-08-11"
"A0","1","Starter","Premiers mots","I can produce essential sounds and complete my first short exchanges.","Je peux produire les sons essentiels et réussir mes premiers échanges.","a0_first_contact","1","First contact","Premier contact","I can greet someone, introduce myself, say I do not understand, and say goodbye.","Saluer, se présenter, signaler une incompréhension et prendre congé.","4","Introduce yourself","Se présenter","I can introduce myself and say goodbye.","Je peux me présenter et dire au revoir.","social","10","/ʒ/ | /ɥ/ | /i/","false","https://getparle.app/french-speaking-course/","2026-08-11"
"A0","1","Starter","Premiers mots","I can produce essential sounds and complete my first short exchanges.","Je peux produire les sons essentiels et réussir mes premiers échanges.","a0_essential_needs","2","Essential needs","Besoins essentiels","I can politely ask for water, the toilet, or help.","Demander de l'eau, des toilettes ou de l'aide avec politesse.","1","Ask for water","Demander de l'eau","I can ask for water politely.","Je peux demander de l'eau poliment.","food","8","/ʒ/ | /d/ | /l/","false","https://getparle.app/french-speaking-course/","2026-08-11"
"A0","1","Starter","Premiers mots","I can produce essential sounds and complete my first short exchanges.","Je peux produire les sons essentiels et réussir mes premiers échanges.","a0_essential_needs","2","Essential needs","Besoins essentiels","I can politely ask for water, the toilet, or help.","Demander de l'eau, des toilettes ou de l'aide avec politesse.","2","Ask for the toilet","Demander les toilettes","I can ask where the toilet is.","Je peux demander où sont les toilettes.","services","8","/t/ | /w/ | /ɛ/","false","https://getparle.app/french-speaking-course/","2026-08-11"
"A0","1","Starter","Premiers mots","I can produce essential sounds and complete my first short exchanges.","Je peux produire les sons essentiels et réussir mes premiers échanges.","a0_essential_needs","2","Essential needs","Besoins essentiels","I can politely ask for water, the toilet, or help.","Demander de l'eau, des toilettes ou de l'aide avec politesse.","3","Ask for help","Demander de l'aide","I can ask for help politely.","Je peux demander de l'aide poliment.","services","8","/ɛ/ | /d/ | /p/","false","https://getparle.app/french-speaking-course/","2026-08-11"
"A0","1","Starter","Premiers mots","I can produce essential sounds and complete my first short exchanges.","Je peux produire les sons essentiels et réussir mes premiers échanges.","a0_essential_needs","2","Essential needs","Besoins essentiels","I can politely ask for water, the toilet, or help.","Demander de l'eau, des toilettes ou de l'aide avec politesse.","4","Review essential needs","Réviser les besoins","I can ask for water, the toilet, and help.","Je peux demander de l'eau, les toilettes et de l'aide.","review","10","/o/ | /t/ | /ɛ/","false","https://getparle.app/french-speaking-course/","2026-08-11"
"A0","1","Starter","Premiers mots","I can produce essential sounds and complete my first short exchanges.","Je peux produire les sons essentiels et réussir mes premiers échanges.","a0_numbers_time","3","Numbers and time","Nombres et heure","I can understand and give a number, price, time, and simple phone number.","Comprendre et donner un nombre, un prix, une heure et un numéro simple.","1","Numbers 1-10","Les nombres 1-10","I can count from 1 to 10 in French.","Je peux compter de 1 à 10 en français.","review","8","/a/ | /e/ | /i/","false","https://getparle.app/french-speaking-course/","2026-08-11"
"A0","1","Starter","Premiers mots","I can produce essential sounds and complete my first short exchanges.","Je peux produire les sons essentiels et réussir mes premiers échanges.","a0_numbers_time","3","Numbers and time","Nombres et heure","I can understand and give a number, price, time, and simple phone number.","Comprendre et donner un nombre, un prix, une heure et un numéro simple.","2","One or two?","Une ou deux ?","I can ask for and give a simple quantity.","Je peux demander et donner une quantité simple.","services","10","/ø/ | /ɑ̃/ | /j/","false","https://getparle.app/french-speaking-course/","2026-08-11"
