"ipa","category","spellings","example_words","mouth_cue_en","source_url","last_updated"
"/a/","vowels","a | à | â","chat | là | pâte","Open your mouth wide, as in “chat” or “là.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/e/","vowels","é | er | ez","été | parler | chez","Stretch your lips, as in “été” or “aller.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/ɛ/","vowels","è | ê | ai","mère | être | lait","Your mouth is more open than for /e/, as in “mère” or “lait.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/i/","vowels","i | î | y","lit | île | style","Stretch your lips as far as you can, as in “lit” or “île.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/o/","vowels","o | ô | au","vélo | hôtel | beau","Round your lips, as in “beau” or “chaud.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/ɔ/","vowels","o | o | o","porte | bonne | homme","Your mouth is more open than for /o/, as in “porte” or “bonne.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/u/","vowels","ou | où | oû","tout | où | goût","Lips are very rounded and pushed forward, as in “tout” or “roue.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/y/","vowels","u | û | u","lune | sûr | rue","Say an /i/ sound with rounded lips, as in “lune” or “rue.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/ø/","vowels","eu | œu | eu","feu | vœu | deux","Lips rounded and forward, as in “jeu” or “deux.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/œ/","vowels","eu | œu | eu","peur | cœur | jeune","Your mouth is more open than for /ø/, as in “peur” or “fleur.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/ə/","vowels","e | e | e","le | petit | demain","A short, weak sound that may disappear in everyday speech, as in “le,” “petit,” or “demain.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/ɑ̃/","vowels","an | am | en","enfant | champagne | vent","Air passes through the nose, as in “enfant” or “temps.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/ɔ̃/","vowels","on | om | ont","bon | tomber | ont","A rounded nasal sound, as in “bon” or “pont.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/ɛ̃/","vowels","in | im | ain","vin | simple | pain","An open nasal sound, as in “vin” or “main.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/j/","semi-vowels","i | y | ill","piano | payer | fille","A gliding sound, as in “fille” or “yeux.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/w/","semi-vowels","ou | oi | w","oui | roi | week-end","A glide with rounded lips, as in “oui” or “roi.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/ɥ/","semi-vowels","ui | ui | ui","lui | nuit | puis","A glide typical of French, as in “lui” or “nuit.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/p/","consonants","p | pp | p","papa | nappe | pont","Lips close then open, as in “papa” or “pont.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/b/","consonants","b | bb | b","bateau | abbaye | robe","Like /p/ but voiced, as in “beau” or “robe.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/t/","consonants","t | tt | th","table | cette | thé","The tongue touches the upper teeth, as in “table” or “thé.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/d/","consonants","d | dd | d","date | addition | deux","Like /t/ but voiced, as in “deux” or “date.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/k/","consonants","c | k | qu","café | kilo | queue","The back of the tongue touches the palate, as in “quand” or “café.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/ɡ/","consonants","g | gu | g","gare | guerre | bague","Like /k/ but voiced, as in “gare” or “bague.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/f/","consonants","f | ff | ph","feu | effet | photo","Upper teeth touch the lower lip, as in “faire” or “photo.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/v/","consonants","v | w | v","vie | wagon | vert","Like /f/ but voiced, as in “vie” or “vert.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/s/","consonants","s | c | ç","sac | ceci | garçon","Air passes between the tongue and the teeth, as in “sac” or “garçon.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/z/","consonants","z | s | x","zéro | rose | deuxième","Like /s/ but voiced, as in “zéro” or “rose.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/ʃ/","consonants","ch | ch | sch","chat | cher | schéma","Air flows out in a diffuse way, as in “chat” or “cher.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/ʒ/","consonants","j | g | ge","je | gentil | rouge","Like “sh” in “chat” but voiced, as in “je” or “rouge.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/m/","consonants","m | mm | m","maman | femme | merci","Lips close and air passes through the nose, as in “maman” or “femme.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/n/","consonants","n | nn | n","nous | anneau | nez","The tongue touches the teeth and air passes through the nose, as in “nous” or “bonne.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/ɲ/","consonants","gn | gn | gn","montagne | signe | ligne","The middle of the tongue touches the palate, as in “montagne” or “signe.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/ŋ/","consonants","ng | ng | ng","parking | camping | shopping","A nasal sound borrowed from English, as in “parking” or “camping.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/l/","consonants","l | ll | l","lire | belle | la","The tongue touches the teeth; air passes at the sides, as in “lire” or “belle.”","https://getparle.app/french-sound-chart/","2026-08-11"
"/ʁ/","consonants","r | rr | r","rouge | terre | Paris","The sound comes from the back of the throat, as in “rouge” or “Paris.”","https://getparle.app/french-sound-chart/","2026-08-11"
